date,time,Unknown,calcium,calories,carbs,cholesterol,fat,fiber,iron,monounsaturated fat,polyunsaturated fat,potassium,protein,saturated fat,sodium,sugar,vitamin_c
2024-04-23,22:07:00,,0,956,82.5334,100,22,0,0,0,0,0,33.1334,0,2580,0,0
2024-04-24,06:28:00,,0,66.42,12.6,0,1.06,0,0,0,0,0,1,0,0,5.04,0
2024-04-24,08:17:00,,0,371,30.65,0,5,4.5,0,0,0,0,48.05,1.15,0.355,0.4,0
2024-04-24,19:11:00,,0,544.6,47,0,61.4,1,0,0,24,0,31.5,31,121,25,0
2024-04-24,19:12:00,,0,958.8,145,0,32.2,63,0,50.4,61.2,198,39.4,70.2,972,0,115.8
2024-04-25,08:11:00,,0,554.4,47.97,80,22.81,2.64,0,4.876,4.216,324,34.61,2.572,1692.85,1.97,0
2024-04-25,11:56:00,,0,179.4,1.68,0,15,0,0,0,0,0,7.5,1.2,0,0,0
2024-04-25,14:55:00,,11.9403,684.851,40.3642,0,18.8,0.597015,0.214925,0,0,0,82.697,1.7,14.9254,6.56717,28.6567
2024-04-25,23:28:00,,57.0724,1019.02,110.311,89.1949,25.9648,5.50797,2.20416,5.11758,4.45976,556.331,25.6637,3.22239,412.089,3.90505,1.86782
2024-04-26,08:19:00,,0,408.6,36.22,0,13.12,0,0,0,0,0,36.24,0.25,0.1775,0.2,0
2024-04-26,18:13:00,,373.519,960.589,69.262,163.68,52.8247,3.38241,1.70755,1.61736,0.851099,115.211,49.6681,2.13078,66.3918,6.69556,2.96897
2024-04-26,21:06:00,,0,685,26.25,290,31.5,4.1,0,0,0,0,75,7.7,2435,0.1,0
2024-04-26,21:07:00,,0,1128.68,50.7,436,55,7,0,7,2.95,285,109.475,9.45,3465,2,9
2024-04-27,08:23:00,,0,105,26.95,0,0.39,0,0,0,0,0,1.29,0.132,0,14.43,0
2024-04-27,10:56:00,,0,192,12,0,1.65,0.65,0,0,0,0,32,0.55,300.177,0.65,0
2024-04-27,14:20:00,,29.96,1505.22,34.9899,141.76,82.8631,3.298,2.0625,16.983,11.0662,722.13,154.236,3.8975,641.57,3.516,28.656
2024-04-27,22:04:00,,0,465,15,0,6,0,0,0,0,0,4,0,0,0,0
2024-04-28,10:27:00,,0,621.5,47.1,0,41.55,0,0,0,0,0,12.9,13.65,1.5525,5.15,0
2024-04-28,13:46:00,,0,233,23.5,0,4.45,0.65,0,0,0,0,23.5,0.84,300,1.65,0
2024-04-28,14:19:00,,0,644,65.96,110,31.88,11.6,0,2.142,0.676,138,32.28,14.478,154,3.16,0
2024-04-28,21:17:00,,0,944,66,2,60,2,0,14,5.9,570,34.9,0.1,150,0,18
2024-04-29,07:23:00,,0,290,9.96,0,2.92,15.6,0,0,0,0,48,0.9,0.391,2.12,0
2024-04-29,13:21:00,,0,726.3,69.66,0,37.8,0,0,0,0,0,30.24,7.29,0,17.55,0
2024-04-29,21:20:00,,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-30,08:24:00,,0,260,3.39,0,15.05,0,0,0,0,0,27.29,3,0.048,0.33,0
2024-04-30,12:24:00,,0,376.98,42.774,0,15.03,0.594,0,0,0,0,17.715,0.627,0.891,0.792,0
2024-04-30,13:30:00,,0,663.38,66.414,0,28.21,4.194,0,1.979,1.424,0,37.835,8.295,6.291,5.592,0
2024-04-30,20:59:00,,49.7872,790.446,72.2236,139.523,38.1343,1.7752,1.0546,4.8126,3.1305,504.993,39.6588,9.04921,859.573,5.03262,0.931698
2024-05-01,09:06:00,,0,277.5,15.5,5,16,0,0,0,0,0,17,3,0,0,0
2024-05-01,13:59:00,,7.29999,825,16.22,0,15.05,0.579999,0.629999,0,0,21.0666,8.442,3.16667,0.24,1.56667,0
2024-05-01,22:49:00,,19,1311.75,90.9,0,45,0,0.063,0,0,283.5,50.7,0,48,0,0
2024-05-02,09:02:00,,0,282,10,0,9.4,0,0,0,0,0,6.9,1.4,0,0,0
2024-05-02,15:17:00,,0,733,65.4,26.2,37,2.2,0,9.9,4.04,473,31.1,1.26,150,1.6,10.8
2024-05-02,18:16:00,,775,277,29.7,25,11.57,3.85,0.072,2.286,3.136,171,12.8,1.544,260,3.5,0
2024-05-02,21:34:00,,0,907.676,89.0153,0,44.6588,3.24706,0,0.847058,1.69412,492.706,33.6529,1.55294,95.9999,5.00647,0
2024-05-03,07:06:00,,0,362,28.9,35,12.7,1.4,0,2.1,0.7,183.4,31.5,1.65,84.1775,2.3,0
2024-05-03,14:25:00,,0,956,82.5334,100,22,0,0,0,0,0,33.1334,0,2580,0,0
2024-05-03,19:32:00,,0,108,12,0,4.8,0,0,0,0,0,3.2,0,0,0,0
2024-05-03,21:46:00,,620.26,1702.02,104.206,1.6,75.608,5.368,0.650399,11.2688,5.0448,984.24,94.1488,18.3791,602.28,6.6366,157.116
2024-05-04,08:26:00,,0,162,18,0,7.2,0,0,0,0,0,4.8,0,0,0,0
2024-05-04,11:54:00,,6,200.8,15.89,0,0.81,2.4,0.12,0.007,0.051,107,33.86,0.428,1.284,10.71,4.6
2024-05-04,14:17:00,,34.875,560.455,52.9727,105.75,22.9,2.19545,4.725,12.7255,1.45818,762.5,35.0932,7.30909,1393.05,0.822727,5.31
2024-05-04,20:27:00,,121.768,1724.76,151.118,0,94.2192,18.6242,1.85,16.3317,5.9675,652.588,54.655,26.4783,3469.48,2.84,9.59999
2024-05-05,08:57:00,,0,334.364,33.1782,0,14.42,0.436364,0,0.100364,0.0865455,40,15.6345,0.0872727,419.636,0.0581818,0
2024-05-05,15:02:00,,132,1579.55,73.37,108.5,86.875,7.35,0.14472,14,5.9,606.45,103.185,14.1,774.3,1.05,18.6912
2024-05-05,15:05:00,,0,205,51.95,0,0.39,0,0,0,0,0,1.29,0.132,85,39.43,0
2024-05-05,20:48:00,,0,725,83.35,0,22.8,0,0,0,0,0,46.54,0,0,0,0
2024-05-06,08:40:00,,0,419.4,14.87,0,16.55,0,0,0,0,0,50.89,1.61,2240.4,3.31,0
2024-05-06,13:08:00,,448.223,666.707,29.1144,196.416,41.7896,4.05889,2.04906,1.94083,1.02132,138.253,45.2017,2.55694,79.6702,8.03467,3.56276
2024-05-06,20:56:00,,17.6,523.2,58.85,0,8.584,2.968,1.224,0.885,0.6042,274.2,55.764,2.061,407.28,9.446,10.656
2024-05-07,06:26:00,,0,462.5,50.15,0,7.75,10.5,0,1.75,1.8,0,52.8,1.6,120.357,6.3,0
2024-05-07,07:57:00,,5.5,143.5,13,11.5,4.76,1,0.425,1.0115,0.4975,87.5,10.64,0.7645,456,5.2,0
2024-05-07,14:23:00,,0,944,66,2,60,2,0,14,5.9,570,34.9,0.1,150,0,18
2024-05-07,19:10:00,,0,296.062,23.25,0,15.79,0.25,0,0,0,35.25,13.225,1.155,68.125,0,0
2024-05-08,13:39:00,,0,535,40.75,100,13.95,0.4,0,0.037,0.05,716,56.57,2.858,105,6.2,0
2024-05-08,13:41:00,,0,647.6,57.99,100,25.5,3.3,0,6.095,5.27,405,40.89,3.165,2116.05,2.38,0
2024-05-08,17:20:00,,0,56.9,3.1,0,4.3,0,0,0,0,0,0.76,0,0,0,0
2024-05-08,23:25:00,,0,1373.7,77.7,64,82.66,2,0,19.008,8.836,674,51.34,3.402,390,0.33,18
2024-05-09,08:30:00,,0,611.6,57.41,80,24.13,3.2,0,5.556,4.896,324,35.93,2.732,1800.05,1.97,0
