date,sleep_time,sleep_score_performance,sleep_score_consistency,sleep_score_efficiency,sleep_duration,sleep_rem,sleep_deep,sleep_light,sleep_awake,recovery_score,resting_hr,hrv,spo2,skin_temp
2024-05-28,00:29:24,57.0,85.0,89.960434,6.264328055555555,1.7544094444444445,2.010491111111111,1.7624163888888886,0.7370111111111111,67.0,51.0,59.670555,96.0,32.2
2024-05-29,23:24:07,60.0,78.0,91.98573,6.897206111111111,2.483413611111111,2.0588244444444443,1.8022075000000002,0.5527605555555556,50.0,55.0,49.147594,92.75,33.7
2024-05-30,00:31:08,63.0,84.0,92.83078,6.648863611111111,2.3229286111111107,1.8825838888888888,1.9146233333333336,0.5287277777777778,80.0,49.0,64.00329,93.6,33.90333
2024-05-31,00:07:53,59.0,87.0,86.9847,6.609884722222222,1.3458458333333332,1.1455680555555554,3.2372702777777778,0.8812005555555555,30.0,59.0,39.936073,96.15385,34.2
2024-06-01,00:46:37,52.0,88.0,88.42592,6.280349444444445,1.5138002777777777,1.161597777777778,2.771803055555556,0.8331483333333333,41.0,54.0,47.454914,97.4,33.7
2024-06-02,00:04:03,80.0,68.0,84.951485,9.188344166666665,1.457733611111111,2.2590961111111114,4.061583333333334,1.4099311111111112,63.0,54.0,51.96534,96.63636,33.7
2024-06-03,23:59:28,65.0,71.0,87.268005,7.29864,1.194271388888889,2.0027394444444444,3.172366666666667,0.9292625,54.0,56.0,49.32459,93.833336,33.7
2024-06-04,23:33:09,55.0,81.0,80.77342,6.7370463888888885,1.7544036111111112,1.6020269444444442,1.9947225000000002,1.3858933333333334,53.0,55.0,52.84858,92.85714,34.3
2024-06-05,23:18:58,58.0,76.0,83.72643,6.793328888888889,1.1936386111111112,2.002747777777778,2.491425555555556,1.1055169444444446,78.0,49.0,65.152824,96.1,33.651726
2024-06-06,23:32:30,62.0,84.0,90.10438,7.148039166666666,2.1886819444444447,1.3698847222222221,2.8604747222222224,0.7289977777777777,68.0,50.0,57.76083,94.15,33.7
2024-06-07,23:46:50,47.0,88.0,71.34633,6.934460277777777,1.8564077777777779,1.4019255555555554,1.666287777777778,2.0098391666666666,42.0,53.0,55.96705,97.333336,34.2
2024-06-08,00:25:27,64.0,66.0,80.790924,8.347173333333334,2.3792661111111113,1.9386586111111113,2.3870047222222226,1.642243888888889,45.0,57.0,49.176136,92.916664,34.323334
2024-06-09,00:32:55,67.0,76.0,85.29417,7.898816944444445,2.0027544444444443,2.106870277777778,2.6276055555555553,1.161586666666667,67.0,53.0,56.24953,96.5,33.7
2024-06-10,00:51:28,47.0,79.0,86.02671,5.84776,1.3378338888888888,1.4499941666666667,2.2428075,0.8171244444444444,13.0,63.0,28.469595,94.125,34.1
2024-06-11,23:50:32,51.0,82.0,90.33196,5.6157111111111115,1.490045,1.3218133333333335,2.2030325,0.6008202777777778,64.0,49.0,69.017715,94.85,31.4
2024-06-12,01:19:56,45.0,81.0,86.89173,5.487269166666667,1.2734758333333334,1.4419794444444445,2.010762777777778,0.7610511111111111,40.0,50.0,56.483677,95.916664,32.3
2024-06-13,23:42:37,60.0,77.0,90.12901,6.524498055555555,1.337836388888889,1.2657311111111111,3.2480175,0.6729130555555556,66.0,51.0,60.386837,94.545456,33.2
2024-06-14,23:42:03,63.0,82.0,92.89794,6.5422577777777775,2.172795,1.6582780555555556,2.246549722222222,0.464635,69.0,50.0,60.547924,93.64286,33.3
2024-06-16,00:20:00,61.0,74.0,80.61378,7.610161388888888,2.0265166666666667,1.9066108333333331,2.162963611111111,1.5140702777777777,62.0,53.0,53.996624,93.4375,33.4
2024-06-17,23:55:35,63.0,81.0,88.210915,7.067106666666666,0.9853533333333334,2.0030269444444446,3.2455791666666665,0.8331472222222222,71.0,53.0,57.740715,96.0,33.778336
2024-06-18,23:32:47,55.0,71.0,84.611565,6.6114605555555555,1.810216111111111,1.4019166666666665,2.3819275,1.0174002777777778,45.0,53.0,54.902767,96.333336,33.9
2024-06-19,00:25:43,53.0,82.0,86.720276,5.911849722222223,1.3776280555555556,1.1936361111111111,2.5555080555555554,0.7850775,72.0,47.0,69.55202,97.0,32.34667
